,osm_id,name,type,coords
39,33036337,,,"[(18.0704813, 59.3493685), (18.0704333, 59.3494988), (18.0704853, 59.3495047), (18.0712322, 59.3495893), (18.0712401, 59.3495677), (18.0714544, 59.3496132), (18.0714701, 59.349574), (18.0719695, 59.349632), (18.0720243, 59.3495084), (18.0719368, 59.3494634), (18.0718347, 59.3494327), (18.071657, 59.3494073), (18.0715358, 59.3494044), (18.0713994, 59.3494195), (18.0713181, 59.3494382), (18.0712917, 59.3494563), (18.0704813, 59.3493685)]"
40,33036341,,,"[(18.0622439, 59.3498552), (18.0613989, 59.3502225), (18.0612682, 59.3501443), (18.061115, 59.3502108), (18.0613858, 59.3503727), (18.0623839, 59.3499389), (18.0622439, 59.3498552)]"
41,33036345,,,"[(18.0611062, 59.3503698), (18.0612295, 59.3504436), (18.0611062, 59.3503698)]"
42,33037400,,,"[(18.0659154, 59.3479165), (18.0657701, 59.3479812), (18.065669, 59.3479222), (18.065621, 59.3479436), (18.0655856, 59.3479229), (18.0652043, 59.3480925), (18.0652399, 59.3481133), (18.0651076, 59.3481722), (18.0651546, 59.3481997), (18.0650796, 59.348233), (18.0651698, 59.3482857), (18.0651259, 59.3483052), (18.0651904, 59.3483429), (18.0651496, 59.3483611), (18.0652239, 59.3484044), (18.0652538, 59.3483906), (18.0653321, 59.3483567), (18.0657852, 59.3481522), (18.0660923, 59.3480193), (18.0659285, 59.3479242), (18.0659154, 59.3479165)]"
43,33037429,,,"[(18.0646811, 59.3487699), (18.0648379, 59.348864), (18.0655395, 59.3485606), (18.0656153, 59.3486061), (18.0662277, 59.3483412), (18.0661565, 59.3482985), (18.0663892, 59.3481978), (18.0662337, 59.3481043), (18.0660923, 59.3480193), (18.0657852, 59.3481522), (18.0659087, 59.3482264), (18.0654473, 59.348426), (18.0653321, 59.3483567), (18.0652538, 59.3483906), (18.0653811, 59.3484671), (18.0646811, 59.3487699)]"
44,33266752,,,"[(18.0637558, 59.3502436), (18.0635232, 59.3502817), (18.0628837, 59.3503865), (18.0629344, 59.350467), (18.0638066, 59.3503241), (18.0637558, 59.3502436)]"
45,33266759,,,"[(18.0624439, 59.3504573), (18.0622102, 59.3506224), (18.0624099, 59.3506959), (18.0626436, 59.3505308), (18.0624439, 59.3504573)]"
46,33266763,,,"[(18.0628875, 59.350572), (18.0625696, 59.3507955), (18.06277, 59.3508696), (18.0630879, 59.3506461), (18.0628875, 59.350572)]"
47,33266765,,,"[(18.062927, 59.3510133), (18.0627661, 59.3511286), (18.0630621, 59.351236), (18.0632231, 59.3511207), (18.062927, 59.3510133)]"
48,33266770,,,"[(18.0632608, 59.350772), (18.0630379, 59.3509242), (18.0631798, 59.3509782), (18.0634026, 59.3508259), (18.0632608, 59.350772)]"
49,33266784,,,"[(18.063591, 59.3507058), (18.06371, 59.3507484), (18.0637405, 59.3507263), (18.0637823, 59.3507412), (18.0640661, 59.3505351), (18.0642148, 59.3505869), (18.0643317, 59.3506302), (18.0636028, 59.3511596), (18.063635, 59.3511711), (18.0635999, 59.3511966), (18.0637351, 59.351245), (18.0645559, 59.3506487), (18.0645269, 59.3506383), (18.0645656, 59.3506102), (18.0645137, 59.3505916), (18.0645419, 59.3505711), (18.0643367, 59.3504974), (18.0641492, 59.3504306), (18.064112, 59.3504576), (18.0640622, 59.3504398), (18.0640226, 59.3504686), (18.0639523, 59.3504434), (18.063591, 59.3507058)]"
50,33266792,,,"[(18.0618362, 59.350619), (18.0615469, 59.350513), (18.0613926, 59.3506225), (18.0616819, 59.3507285), (18.0618362, 59.350619)]"
51,33266799,,,"[(18.0612584, 59.3507311), (18.0610877, 59.350849), (18.0613798, 59.3509589), (18.0615505, 59.350841), (18.0612584, 59.3507311)]"
52,33266803,,,"[(18.0613846, 59.3512136), (18.0611978, 59.3513409), (18.0614454, 59.3514321), (18.0616336, 59.3513006), (18.0613846, 59.3512136)]"
53,33266808,,,"[(18.0617864, 59.3513648), (18.0616001, 59.3515002), (18.0616558, 59.3515201), (18.0618422, 59.3515868), (18.0620285, 59.3514514), (18.0617864, 59.3513648)]"
54,33266822,,,"[(18.0624762, 59.3513359), (18.0627868, 59.3514489), (18.0629544, 59.3513292), (18.0626438, 59.3512162), (18.0624762, 59.3513359)]"
55,35404978,,,"[(18.0648801, 59.3516048), (18.0648131, 59.3516297), (18.0648797, 59.3516761), (18.0649467, 59.3516512), (18.0648801, 59.3516048)]"
56,35404999,,,"[(18.0653754, 59.3516545), (18.0650336, 59.3517682), (18.0656037, 59.3518333), (18.0655916, 59.3518247), (18.0656753, 59.3517941), (18.0656986, 59.3518107), (18.0659832, 59.3517066), (18.0654287, 59.3513128), (18.0653205, 59.3513524), (18.0652919, 59.351332), (18.0651408, 59.3513873), (18.0655812, 59.3517001), (18.0655449, 59.3517133), (18.0655674, 59.3517293), (18.0655102, 59.3517503), (18.0653754, 59.3516545)]"
57,35405008,,,"[(18.0658541, 59.3511671), (18.0655791, 59.351271), (18.0659149, 59.351502), (18.0661899, 59.3513981), (18.0658541, 59.3511671)]"
58,35405342,KTH: B,university,"[(18.068713, 59.3510524), (18.0682177, 59.3513509), (18.068529, 59.3514851), (18.0683527, 59.3515914), (18.0680469, 59.3514596), (18.0688559, 59.3515954), (18.0687598, 59.351554), (18.0687776, 59.3515433), (18.0690639, 59.3513707), (18.0691534, 59.3514093), (18.069315, 59.3513119), (18.068713, 59.3510524)]"
59,35405355,KTH: LSA & ITA,university,"[(18.0673306, 59.3512822), (18.0673034, 59.3513027), (18.0667434, 59.3517253), (18.0669562, 59.3517985), (18.067448, 59.3514274), (18.0675479, 59.3514618), (18.0677614, 59.3513008), (18.0677285, 59.3512895), (18.0679693, 59.3511078), (18.0678928, 59.3510814), (18.0676527, 59.3512626), (18.0675648, 59.3512323), (18.067446, 59.351322), (18.0673306, 59.3512822)]"
60,35405363,,university,"[(18.0678889, 59.3508654), (18.0676972, 59.3510176), (18.0678928, 59.3510814), (18.0679693, 59.3511078), (18.0680838, 59.3511441), (18.0682755, 59.350992), (18.0678889, 59.3508654)]"
61,41598834,KTH: Alfvénlaboratoriet,university,"[(18.0724333, 59.349409), (18.0721857, 59.3500246), (18.072439, 59.3500511), (18.0726413, 59.3495481), (18.0726823, 59.3495524), (18.0732403, 59.3496107), (18.0730198, 59.3501532), (18.0726642, 59.350116), (18.0725931, 59.3502988), (18.0725366, 59.3504391), (18.0728841, 59.3504755), (18.0728679, 59.3505158), (18.0730502, 59.3505348), (18.0730651, 59.3504978), (18.0731824, 59.35051), (18.0733129, 59.3501855), (18.073275, 59.3501815), (18.0735462, 59.3495072), (18.0727548, 59.3494244), (18.0727478, 59.3494418), (18.0724333, 59.349409)]"
62,41598838,,,"[(18.0730834, 59.3506921), (18.072907, 59.3506737), (18.0727887, 59.3509687), (18.0729651, 59.3509871), (18.0730834, 59.3506921)]"
63,41598864,,,"[(18.0734882, 59.3507358), (18.0734363, 59.3508866), (18.0736232, 59.3509033), (18.073675, 59.3507526), (18.0734882, 59.3507358)]"
64,41598877,,,"[(18.0737514, 59.350613), (18.0737014, 59.3507564), (18.073884, 59.3507729), (18.073934, 59.3506296), (18.0737514, 59.350613)]"
65,41598879,,,"[(18.0740557, 59.3503402), (18.0739447, 59.3506298), (18.0741186, 59.3506472), (18.0742296, 59.3503575), (18.0740557, 59.3503402)]"
